,Time Stamp,temp,feelslike,humidity,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions,Time Zone,Name,PTID,Load
0,2021-01-01 00:00:00,36.0,31.8,,,5.0,348.0,1029.5,10.5,9.9,Clear,EST,N.Y.C.,61761,4915.3086
1,2021-01-01 01:00:00,35.3,35.3,56.42,,2.9,356.0,1030.1,10.5,9.9,Clear,EST,N.Y.C.,61761,4715.1763
2,2021-01-01 02:00:00,35.2,30.7,56.34,,5.2,17.0,1030.9,10.5,9.9,Clear,EST,N.Y.C.,61761,4545.7417
3,2021-01-01 03:00:00,35.0,30.7,56.85333333333333,,4.9,21.0,1031.4,10.5,9.9,Clear,EST,N.Y.C.,61761,4427.5566
4,2021-01-01 04:00:00,34.5,29.1,56.6625,,6.1,30.0,1031.6,10.5,9.9,Clear,EST,N.Y.C.,61761,4340.761
5,2021-01-01 05:00:00,33.5,29.0,57.263999999999996,,4.9,19.0,1031.9,10.5,9.9,Clear,EST,N.Y.C.,61761,4352.659
6,2021-01-01 06:00:00,33.8,29.5,58.03333333333333,,4.7,38.0,1032.1,10.5,7.797261904761903,Clear,EST,N.Y.C.,61761,4418.444
7,2021-01-01 07:00:00,33.5,28.3,59.255714285714284,,5.6,23.0,1032.8,20.3,7.416492673992673,Partially cloudy,EST,N.Y.C.,61761,4525.735
8,2021-01-01 08:00:00,33.5,28.5,61.2625,,5.4,33.0,1033.4,34.2,7.046651404151403,Partially cloudy,EST,N.Y.C.,61761,4602.133
9,2021-01-01 09:00:00,34.8,28.0,63.27333333333334,,8.5,35.0,1033.6,34.2,7.7,Partially cloudy,EST,N.Y.C.,61761,4736.535
10,2021-01-01 10:00:00,36.2,29.2,56.42,,9.6,46.0,1033.6,34.2,7.949999999999999,Partially cloudy,EST,N.Y.C.,61761,4805.109
11,2021-01-01 11:00:00,37.3,34.1,56.26,,4.1,36.0,1033.3,34.5,6.766666666666666,Partially cloudy,EST,N.Y.C.,61761,4973.66
12,2021-01-01 12:00:00,37.9,33.1,57.88,,6.1,55.0,1031.2,37.7,6.049999999999999,Partially cloudy,EST,N.Y.C.,61761,5127.506
13,2021-01-01 13:00:00,38.9,35.9,56.09,,4.2,43.0,1030.6,37.7,5.359999999999999,Partially cloudy,EST,N.Y.C.,61761,5217.4277
14,2021-01-01 14:00:00,39.1,34.2,59.67,,6.9,56.0,1029.5,38.4,4.983333333333333,Partially cloudy,EST,N.Y.C.,61761,5194.357
15,2021-01-01 15:00:00,39.1,35.3,61.88,,5.2,50.0,1018.3139835164834,69.2,5.257142857142857,Partially cloudy,EST,N.Y.C.,61761,5251.25
16,2021-01-01 16:00:00,38.6,35.3,66.59,17.9,4.4,89.0,1016.5441422466422,100.0,4.949999999999999,Overcast,EST,N.Y.C.,61761,5366.0205
17,2021-01-01 17:00:00,37.7,33.1,75.31,19.166666666666668,5.9,41.0,1012.1,100.0,4.722222222222221,"Rain, Overcast",EST,N.Y.C.,61761,5534.993
18,2021-01-01 18:00:00,37.5,31.9,79.36,20.04,7.5,53.0,1011.35,100.0,7.7,"Rain, Overcast",EST,N.Y.C.,61761,5558.6455
19,2021-01-01 19:00:00,37.3,31.0,82.95,20.74142857142857,8.7,57.0,1010.5333333333333,100.0,8.2,"Rain, Overcast",EST,N.Y.C.,61761,5529.159
20,2021-01-01 20:00:00,37.5,31.7,87.73,21.21015873015873,7.7,59.0,1009.825,100.0,4.4,"Rain, Overcast",EST,N.Y.C.,61761,5461.4443
21,2021-01-01 21:00:00,37.5,31.9,88.44,21.619841269841267,7.4,100.0,1009.2800000000001,100.0,3.9,"Rain, Overcast",EST,N.Y.C.,61761,5350.9033
22,2021-01-01 22:00:00,37.6,31.3,90.81,22.368650793650797,8.7,38.0,1009.0166666666668,100.0,2.6,"Rain, Overcast",EST,N.Y.C.,61761,5238.9976
23,2021-01-01 23:00:00,37.6,32.4,91.33,22.984676434676434,6.8,32.0,1008.9142857142858,100.0,3.1,"Rain, Overcast",EST,N.Y.C.,61761,5050.496
0,2021-01-02 00:00:00,38.6,32.2,90.36,23.488962148962152,9.2,38.0,1008.8625000000001,100.0,6.9,"Rain, Overcast",EST,N.Y.C.,61761,4805.0996
1,2021-01-02 01:00:00,38.6,32.0,91.93,17.9,9.7,47.0,1008.8222222222224,100.0,2.8,"Rain, Overcast",EST,N.Y.C.,61761,4599.505
2,2021-01-02 02:00:00,36.4,29.0,94.44,21.7,10.4,49.0,1012.1,100.0,2.9,"Rain, Overcast",EST,N.Y.C.,61761,4443.2207
3,2021-01-02 03:00:00,37.6,31.2,91.41,23.53333333333333,8.8,16.0,1010.6,100.0,3.5,"Rain, Overcast",EST,N.Y.C.,61761,4332.0977
4,2021-01-02 04:00:00,38.1,34.0,95.54,24.95,5.3,46.0,1008.9,100.0,3.2,"Rain, Overcast",EST,N.Y.C.,61761,4258.6074
5,2021-01-02 05:00:00,39.1,39.1,93.29,24.96,1.8,356.0,1007.7,100.0,3.2,Overcast,EST,N.Y.C.,61761,4259.549
6,2021-01-02 06:00:00,38.0,32.7,91.27,25.71666666666667,7.1,293.0,1007.1,100.0,3.2,Overcast,EST,N.Y.C.,61761,4321.598
7,2021-01-02 07:00:00,37.7,37.7,93.98,26.88571428571429,2.2,324.0,1007.7,100.0,4.2,Overcast,EST,N.Y.C.,61761,4481.8047
8,2021-01-02 08:00:00,39.2,35.2,92.04,27.174999999999997,5.5,284.0,1008.3,100.0,4.2,Overcast,EST,N.Y.C.,61761,4611.4766
9,2021-01-02 09:00:00,40.7,36.2,89.76,27.099999999999998,6.8,252.0,1008.5,89.5,8.0,Partially cloudy,EST,N.Y.C.,61761,4783.7207
10,2021-01-02 10:00:00,46.0,41.7,76.68,17.9,8.3,266.0,1008.5,19.2,9.9,Clear,EST,N.Y.C.,61761,4877.4326
11,2021-01-02 11:00:00,50.5,50.5,66.27,25.5,13.9,275.0,1008.9,73.9,9.9,Partially cloudy,EST,N.Y.C.,61761,4960.8223
12,2021-01-02 12:00:00,51.4,51.4,59.09,27.2,13.8,292.0,1008.7,65.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5007.4756
13,2021-01-02 13:00:00,51.5,51.5,57.52,29.2,15.6,291.0,1008.9,44.6,9.9,Partially cloudy,EST,N.Y.C.,61761,5059.929
14,2021-01-02 14:00:00,50.9,50.9,55.13,25.0,11.5,292.0,1010.3,65.0,9.9,Partially cloudy,EST,N.Y.C.,61761,5042.5483
15,2021-01-02 15:00:00,49.5,43.8,53.59,29.5,15.9,295.0,1012.0,35.9,9.9,Partially cloudy,EST,N.Y.C.,61761,5023.2373
16,2021-01-02 16:00:00,47.2,41.5,52.68,33.9,13.5,286.0,1013.8,25.4,9.9,Partially cloudy,EST,N.Y.C.,61761,5110.2935
17,2021-01-02 17:00:00,44.7,38.7,54.28,29.2,12.2,309.0,1015.2,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,5335.6836
18,2021-01-02 18:00:00,42.9,36.4,57.66,26.5,12.4,304.0,1016.4,34.2,9.9,Partially cloudy,EST,N.Y.C.,61761,5523.9326
19,2021-01-02 19:00:00,42.4,37.8,57.53,16.3,7.4,316.0,1017.4,19.2,9.9,Clear,EST,N.Y.C.,61761,5477.5767
